オーダー Id,オーダー日,カテゴリ,カテゴリ (Rank.Csv),サブカテゴリ,メーカー,ランク,出荷モード,出荷日,利益,国/領域,地域,市区町村,製品名,都道府県,顧客区分,顧客名,レコード数,レコード数 1,利益率,割引率,売上,数量
JP-2020-1283133,2020/05/18,事務用品,事務用品,画材,Stanley,A,通常配送,2020/05/23,-￥62,日本,関東地方,新宿区,"Stanley ペン, メタル",東京都,小規模事業所,上東 義雄,1,1,-0.05,0.15,1282,2
JP-2020-1283133,2020/05/18,事務用品,事務用品,画材,Sanford,A,通常配送,2020/05/23,￥652,日本,関東地方,新宿区,"Sanford マーカー, メタル",東京都,小規模事業所,上東 義雄,1,1,0.12,0.15,5556,4
JP-2020-1283133,2020/05/18,事務用品,事務用品,バインダー,カーディナル,A,通常配送,2020/05/23,-￥118,日本,関東地方,新宿区,"カーディナル 穴あけパンチ, リサイクル",東京都,小規模事業所,上東 義雄,1,1,-0.01,0.15,9914,6
JP-2018-1886968,2018/09/18,事務用品,事務用品,紙,Eaton,A,セカンド クラス,2018/09/20,"￥2,268",日本,関西地方,姫路市,"Eaton リーム, 12 パック",兵庫県,消費者,塩井 香,1,1,0.37,0,6138,3
JP-2018-1886968,2018/09/18,事務用品,事務用品,画材,BIC,A,セカンド クラス,2018/09/20,"￥2,550",日本,関西地方,姫路市,"BIC 蛍光ペン, メタル",兵庫県,消費者,塩井 香,1,1,0.38,0,6730,5
JP-2018-1886968,2018/09/18,事務用品,事務用品,アプライアンス,キッチンエイド,A,セカンド クラス,2018/09/20,"￥14,060",日本,関西地方,姫路市,"キッチンエイド 冷蔵庫, 赤",兵庫県,消費者,塩井 香,1,1,0.04,0,351960,10
JP-2018-1886968,2018/09/18,家具,家具,本棚,Safco,B,セカンド クラス,2018/09/20,"￥12,338",日本,関西地方,姫路市,"Safco クラシック スタイルの本棚, 白",兵庫県,消費者,塩井 香,1,1,0.42,0,29378,1
JP-2019-1721267,2019/01/24,家電,家電,電話機,サムスン,S,ファースト クラス,2019/01/26,"￥7,294",日本,関東地方,つくば市,"サムスン オフィス用電話機, 青",茨城県,消費者,布留川 丈夫,1,1,0.24,0,30436,7
JP-2019-1324451,2019/11/20,事務用品,事務用品,ラベル,Hon,A,通常配送,2019/11/24,-￥167,日本,北海道,北見市,"Hon 丸型ラベル, 調整可能",北海道,消費者,要 美咲,1,1,-0.46,0.4,,2
JP-2019-1516848,2019/01/09,事務用品,事務用品,バインダー,アコ,A,セカンド クラス,2019/01/14,￥190,日本,関西地方,三田市,"アコ バインダー カバー, 高耐久性",兵庫県,消費者,富士原 和也,1,1,0.04,0,4940,5
JP-2018-1889880,2018/01/24,家具,家具,テーブル,Barricks,B,通常配送,2018/01/28,"-￥38,258",日本,中部地方,東海市,"Barricks 木製テーブル, 黒",愛知県,消費者,友永 静香,1,1,-0.62,0.4,62032,3
JP-2018-1393537,2018/07/06,事務用品,事務用品,保管箱,Rogers,A,通常配送,2018/07/12,"￥6,216",日本,四国,新居浜市,"Rogers トレイ, 業務用",愛媛県,大企業,佐伯 涼香,1,1,0.5,0,12432,3
JP-2018-1393537,2018/07/06,事務用品,事務用品,クリップ,Stockwell,A,通常配送,2018/07/12,￥804,日本,四国,新居浜市,"Stockwell 画鋲, 12 パック",愛媛県,大企業,佐伯 涼香,1,1,0.48,0,1676,2
JP-2018-1393537,2018/07/06,事務用品,事務用品,画材,BIC,A,通常配送,2018/07/12,￥368,日本,四国,新居浜市,"BIC 蛍光ペン, 各種サイズ",愛媛県,大企業,佐伯 涼香,1,1,0.25,0,1474,1
JP-2020-1892635,2020/08/27,事務用品,事務用品,バインダー,カーディナル,A,通常配送,2020/09/02,￥8,日本,九州,宇佐市,"カーディナル バインダー, リサイクル",大分県,消費者,岩本 明美,1,1,0.01,0,,1
JP-2020-1443502,2020/08/26,家電,家電,電話機,サムスン,S,通常配送,2020/08/30,￥170,日本,中国地方,倉敷市,"サムスン ヘッドセット, フル サイズ",岡山県,大企業,鈴井 直樹,1,1,0.02,0,9932,2
JP-2019-1893274,2019/03/14,家具,家具,椅子,Hon,B,通常配送,2019/03/18,"￥2,732",日本,関西地方,西宮市,"Hon 折り畳み式の椅子, 2 つセット",兵庫県,大企業,長谷田 拓海,1,1,0.49,0,5578,1
JP-2019-1893274,2019/03/14,事務用品,事務用品,紙,ゼロックス,A,通常配送,2019/03/18,￥156,日本,関西地方,西宮市,"ゼロックス リーム, リサイクル",兵庫県,大企業,長谷田 拓海,1,1,0.03,0,5250,3
JP-2019-1183264,2019/08/11,事務用品,事務用品,封筒,Kraft,A,セカンド クラス,2019/08/13,"￥1,840",日本,関西地方,堺市堺区,"Kraft 社内用封筒, シルバー",大阪府,消費者,岩花 桐子,1,1,0.14,0,13152,4
JP-2019-1183264,2019/08/11,事務用品,事務用品,アプライアンス,クイジナート,A,セカンド クラス,2019/08/13,"￥5,306",日本,関西地方,堺市堺区,"クイジナート コーヒーミル, 白",大阪府,消費者,岩花 桐子,1,1,0.31,0,17150,7
JP-2019-1183264,2019/08/11,家電,家電,付属品,ロジクール,S,セカンド クラス,2019/08/13,"￥1,078",日本,関西地方,堺市堺区,"ロジクール キーパッド, エコノミー",大阪府,消費者,岩花 桐子,1,1,0.05,0,21616,7
JP-2019-1183264,2019/08/11,事務用品,事務用品,保管箱,Tenex,A,セカンド クラス,2019/08/13,"￥3,976",日本,関西地方,堺市堺区,"Tenex トレイ, メタル",大阪府,消費者,岩花 桐子,1,1,0.28,0,14208,4
JP-2019-1183264,2019/08/11,事務用品,事務用品,アプライアンス,ブレビル,A,セカンド クラス,2019/08/13,"￥2,628",日本,関西地方,堺市堺区,"ブレビル コーヒーミル, シルバー",大阪府,消費者,岩花 桐子,1,1,0.21,0,12522,3
JP-2019-1183264,2019/08/11,家電,家電,コピー機,ブラザー,S,セカンド クラス,2019/08/13,"￥2,944",日本,関西地方,堺市堺区,"ブラザー インク, 2 つセット",大阪府,消費者,岩花 桐子,1,1,0.15,0,19640,2
JP-2018-1898125,2018/12/18,事務用品,事務用品,バインダー,アコ,A,通常配送,2018/12/22,-￥926,日本,関東地方,新宿区,"アコ とじ機, エコノミー",東京都,消費者,種岡 大地,1,1,-0.04,0.15,26056,9
JP-2018-1898125,2018/12/18,事務用品,事務用品,アプライアンス,フーバー,A,通常配送,2018/12/22,"-￥12,648",日本,関東地方,新宿区,"フーバー 冷蔵庫, シルバー",東京都,消費者,種岡 大地,1,1,-0.14,0.15,89592,3
JP-2020-1223055,2020/11/24,事務用品,事務用品,文房具,Kleencut,A,通常配送,2020/12/01,￥0,日本,中部地方,長岡市,"Kleencut 裁断機, スチール",新潟県,消費者,内田 正,1,1,0,0,10888,4
JP-2020-1223055,2020/11/24,事務用品,事務用品,保管箱,Smead,A,通常配送,2020/12/01,￥255,日本,中部地方,長岡市,"Smead ボックス, フル サイズ",新潟県,消費者,内田 正,1,1,0.12,0,2160,3
JP-2020-1656948,2020/07/12,事務用品,事務用品,封筒,Ames,A,セカンド クラス,2020/07/15,"￥3,033",日本,関東地方,新宿区,"Ames テープ付き, シルバー",東京都,消費者,柚木 皐,1,1,0.32,0.15,9561,8
JP-2020-1656948,2020/07/12,事務用品,事務用品,保管箱,Eldon,A,セカンド クラス,2020/07/15,"-￥2,797",日本,関東地方,新宿区,"Eldon 棚, フル サイズ",東京都,消費者,柚木 皐,1,1,-0.15,0.15,19219,7
JP-2020-1656948,2020/07/12,家具,家具,本棚,Sauder,B,セカンド クラス,2020/07/15,"-￥4,362",日本,関東地方,新宿区,"Sauder クラシック スタイルの本棚, 従来型",東京都,消費者,柚木 皐,1,1,-0.06,0.15,74118,3
JP-2020-1656948,2020/07/12,事務用品,事務用品,バインダー,ウィルソン・ジョーンズ,A,セカンド クラス,2020/07/15,-￥18,日本,関東地方,新宿区,"ウィルソン・ジョーンズ 穴の補強テープ, クリア",東京都,消費者,柚木 皐,1,1,-0.03,0.15,,3
JP-2018-1899714,2018/07/24,家電,家電,電話機,ノキア,S,通常配送,2018/07/29,"￥7,668",日本,関西地方,松原市,"ノキア オーディオ ドック, 青",大阪府,消費者,板倉 香,1,1,0.23,0,33348,3
JP-2020-1727431,2020/11/03,家電,家電,事務機器,エプソン,S,通常配送,2020/11/07,"-￥33,734",日本,中部地方,浜松市中区,"エプソン インクジェット, 白",静岡県,小規模事業所,櫛野 颯太,1,1,-0.55,0.4,61326,5
JP-2020-1727431,2020/11/03,事務用品,事務用品,保管箱,Eldon,A,通常配送,2020/11/07,"-￥6,396",日本,中部地方,浜松市中区,"Eldon トレイ, 業務用",静岡県,小規模事業所,櫛野 颯太,1,1,-0.55,0.4,11628,6
JP-2018-1215253,2018/07/11,事務用品,事務用品,画材,Sanford,A,セカンド クラス,2018/07/16,"-￥2,850",日本,中部地方,浜松市中区,"Sanford キャンバス, 大容量パック",静岡県,消費者,姉川 彩乃,1,1,-0.35,0.4,8126,4
JP-2018-1215253,2018/07/11,家具,家具,椅子,Hon,B,セカンド クラス,2018/07/16,￥440,日本,中部地方,浜松市中区,"Hon スツール, 2 つセット",静岡県,消費者,姉川 彩乃,1,1,0.03,0.4,13272,2
JP-2019-1274876,2019/04/17,事務用品,事務用品,封筒,Kraft,A,通常配送,2019/04/22,"￥2,520",日本,四国,三好市,"Kraft 茶封筒, リサイクル",徳島県,大企業,堀口 剛,1,1,0.3,0,8430,5
JP-2019-1274876,2019/04/17,家具,家具,家具,Advantus,B,通常配送,2019/04/22,"￥5,182",日本,四国,三好市,"Advantus フレーム, 黒",徳島県,大企業,堀口 剛,1,1,0.17,0.2,29632,5
JP-2019-1274876,2019/04/17,家電,家電,コピー機,ヒューレット・パッカード,S,通常配送,2019/04/22,"￥14,760",日本,四国,三好市,"ヒューレット・パッカード コピー機, 2 つセット",徳島県,大企業,堀口 剛,1,1,0.28,0,52734,3
JP-2019-1274876,2019/04/17,事務用品,事務用品,バインダー,Avery,A,通常配送,2019/04/22,"￥1,506",日本,四国,三好市,"Avery とじ機, 高耐久性",徳島県,大企業,堀口 剛,1,1,0.15,0,10068,3
JP-2019-1904232,2019/07/25,事務用品,事務用品,紙,ゼロックス,A,通常配送,2019/07/29,"￥1,316",日本,関西地方,松原市,"ゼロックス 事務用品, リサイクル",大阪府,消費者,三溝 誠,1,1,0.22,0,5984,2
JP-2019-1904232,2019/07/25,事務用品,事務用品,紙,サンディスク,A,通常配送,2019/07/29,"￥4,680",日本,関西地方,松原市,"サンディスク 事務用品, プレミアム",大阪府,消費者,三溝 誠,1,1,0.29,0,16140,5
JP-2020-1904978,2020/06/06,事務用品,事務用品,クリップ,Accos,A,セカンド クラス,2020/06/09,￥56,日本,中部地方,春日井市,"Accos ペーパー クリップ, 各種サイズ",愛知県,消費者,水上 瞳,1,1,0.02,0,3064,4
JP-2019-1905081,2019/06/07,事務用品,事務用品,封筒,GlobeWeis,A,セカンド クラス,2019/06/09,"-￥1,298",日本,中部地方,浜松市中区,"GlobeWeis 業務用封筒, リサイクル",静岡県,消費者,忽那 慶子,1,1,-0.5,0.4,2582,4
JP-2019-1905081,2019/06/07,家具,家具,本棚,Bush,B,セカンド クラス,2019/06/09,"-￥11,174",日本,中部地方,浜松市中区,"Bush 書庫, 従来型",静岡県,消費者,忽那 慶子,1,1,-0.38,0.4,29146,2
JP-2019-1905495,2019/06/01,事務用品,事務用品,紙,ゼロックス,A,通常配送,2019/06/07,-￥211,日本,関東地方,新宿区,"ゼロックス ノート, プレミアム",東京都,小規模事業所,末政 螢,1,1,-0.07,0.15,2989,2
JP-2018-1316757,2018/03/08,事務用品,事務用品,クリップ,Advantus,A,ファースト クラス,2018/03/11,-￥395,日本,中部地方,磐田市,"Advantus 輪ゴム, 12 パック",静岡県,消費者,岩佐 太陽,1,1,-0.62,0.4,,1
JP-2020-1906835,2020/10/16,事務用品,事務用品,ラベル,Hon,A,即日配送,2020/10/16,￥204,日本,関西地方,茨木市,"Hon ファイル フォルダ ラベル, 白",大阪府,消費者,宮前 誠,1,1,0.06,0,3456,6
JP-2020-1906835,2020/10/16,家具,家具,椅子,Novimex,B,即日配送,2020/10/16,"￥3,096",日本,関西地方,茨木市,"Novimex ビーチ チェア, 調整可能",大阪府,消費者,宮前 誠,1,1,0.32,0,9690,3
JP-2020-1199017,2020/10/21,家電,家電,電話機,ノキア,S,セカンド クラス,2020/10/23,"-￥7,179",日本,中部地方,浜松市中区,"ノキア 信号ブースター, フル サイズ",静岡県,消費者,平野 誠,1,1,-0.65,0.4,11023,2
JP-2019-1006716,2019/03/13,家電,家電,コピー機,シャープ,S,通常配送,2019/03/17,"-￥1,711",日本,北海道,旭川市,"シャープ 家庭用コピー機, カラー",北海道,大企業,古牧 海斗,1,1,-0.05,0.4,34003,7
JP-2019-1006716,2019/03/13,家具,家具,家具,Rubbermaid,B,通常配送,2019/03/17,"-￥1,854",日本,北海道,旭川市,"Rubvermaid ドア ストッパー, 黒",北海道,大企業,古牧 海斗,1,1,-0.12,0.4,15768,9
JP-2020-1006716,2020/05/08,家具,家具,本棚,Sauder,B,通常配送,2020/05/13,"￥23,220",日本,九州,遠賀郡芦屋町,"Sauder 書庫, メタル",福岡県,大企業,長洲 美優,1,1,0.3,0,77418,3
JP-2020-1006716,2020/05/08,家具,家具,椅子,Harbour Creations,B,通常配送,2020/05/13,"￥10,944",日本,九州,遠賀郡芦屋町,"Harbour Creations 折り畳み式の椅子, 黒",福岡県,大企業,長洲 美優,1,1,0.43,0,25456,4
JP-2018-1909310,2018/10/08,家具,家具,本棚,Safco,B,即日配送,2018/10/08,"￥5,224",日本,関西地方,松原市,"Safco 書庫, 白",大阪府,消費者,宇都 彩花,1,1,0.05,0,104616,4
JP-2018-1909310,2018/10/08,事務用品,事務用品,封筒,Kraft,A,即日配送,2018/10/08,￥120,日本,関西地方,松原市,"Kraft 茶封筒, 赤",大阪府,消費者,宇都 彩花,1,1,0.06,0,2002,1
JP-2018-1909310,2018/10/08,家電,家電,付属品,エナーマックス,S,即日配送,2018/10/08,"￥6,680",日本,関西地方,松原市,"エナーマックス マウス, プログラミング可能",大阪府,消費者,宇都 彩花,1,1,0.48,0,13930,5
JP-2019-1199017,2019/12/15,事務用品,事務用品,紙,ゼロックス,A,通常配送,2019/12/21,￥837,日本,関東地方,新宿区,"ゼロックス 事務用品, リサイクル",東京都,小規模事業所,末政 螢,1,1,0.08,0.15,10173,4
JP-2020-1910372,2020/02/04,家具,家具,椅子,Harbour Creations,B,通常配送,2020/02/09,"￥1,152",日本,関西地方,茨木市,"Harbour Creations ロッキング チェア, 黒",大阪府,大企業,西垣 翔太,1,1,0.04,0,28932,3
JP-2020-1910372,2020/02/04,事務用品,事務用品,クリップ,OIC,A,通常配送,2020/02/09,￥264,日本,関西地方,茨木市,"OIC 輪ゴム, 12 パック",大阪府,大企業,西垣 翔太,1,1,0.06,0,4400,4
JP-2019-1569534,2019/09/26,家具,家具,本棚,Bush,B,通常配送,2019/09/30,"-￥9,530",日本,東北地方,いわき市,"Bush コーナー シェルフ, 黒",福島県,小規模事業所,曲渕 翔太,1,1,-0.32,0.4,30082,6
JP-2019-1569534,2019/09/26,事務用品,事務用品,文房具,Acme,A,通常配送,2019/09/30,"-￥3,184",日本,東北地方,いわき市,"Acme ペーパー ナイフ, 業務用",福島県,小規模事業所,曲渕 翔太,1,1,-0.5,0.4,6366,5
JP-2019-1569534,2019/09/26,事務用品,事務用品,画材,Sanford,A,通常配送,2019/09/30,-￥491,日本,東北地方,いわき市,"Sanford マーカー, メタル",福島県,小規模事業所,曲渕 翔太,1,1,-0.25,0.4,1961,2
JP-2019-1180814,2019/06/27,事務用品,事務用品,ラベル,Avery,A,通常配送,2019/07/01,￥143,日本,北海道,旭川市,"Avery ファイル フォルダ ラベル, 赤",北海道,消費者,箕輪 萌,1,1,0.13,0.4,1073,3
JP-2019-1180814,2019/06/27,家電,家電,付属品,エナーマックス,S,通常配送,2019/07/01,"-￥1,028",日本,北海道,旭川市,"エナーマックス マウス, 高耐久性",北海道,消費者,箕輪 萌,1,1,-0.32,0.4,3240,2
JP-2019-1180814,2019/06/27,家具,家具,テーブル,Lesro,B,通常配送,2019/07/01,"-￥49,694",日本,北海道,旭川市,"Lesro コンピュータ用机, 黒",北海道,消費者,箕輪 萌,1,1,-0.48,0.4,102802,6
JP-2019-1516701,2019/03/22,事務用品,事務用品,紙,ゼロックス,A,ファースト クラス,2019/03/25,￥69,日本,関東地方,新宿区,"ゼロックス メモ用紙, プレミアム",東京都,消費者,椎木 彩花,1,1,0.05,0.15,1533,2
JP-2020-1913509,2020/07/29,家具,家具,椅子,Novimex,B,通常配送,2020/08/03,"￥16,784",日本,関西地方,姫路市,"Novimex ロッキング チェア, 調整可能",兵庫県,大企業,小坂 優香,1,1,0.47,0,35712,4
JP-2018-1914122,2018/02/28,家具,家具,家具,Tenex,B,通常配送,2018/03/03,"￥1,402",日本,関東地方,新宿区,"Tenex 電球, 高耐久性",東京都,小規模事業所,上園 大輝,1,1,0.39,0.15,3618,4
JP-2018-1914122,2018/02/28,事務用品,事務用品,画材,Sanford,A,通常配送,2018/03/03,"￥1,378",日本,関東地方,新宿区,"Sanford 蛍光ペン, 大容量パック",東京都,小規模事業所,上園 大輝,1,1,0.15,0.15,9078,10
JP-2019-1653124,2019/06/06,家電,家電,付属品,サンディスク,S,ファースト クラス,2019/06/07,￥130,日本,中部地方,かほく市,"サンディスク フラッシュ ドライブ, エコノミー",石川県,消費者,川久保 進,1,1,0.01,0,13180,5
JP-2019-1653124,2019/06/06,家具,家具,椅子,Office Star,B,ファースト クラス,2019/06/07,"￥11,274",日本,中部地方,かほく市,"Office Star 肘掛け椅子, 調整可能",石川県,消費者,川久保 進,1,1,0.12,0,93984,3
JP-2019-1653124,2019/06/06,家電,家電,事務機器,コニカ,S,ファースト クラス,2019/06/07,"￥1,218",日本,中部地方,かほく市,"コニカ 電話, 赤",石川県,消費者,川久保 進,1,1,0.16,0.3,7778,2
JP-2019-1653124,2019/06/06,事務用品,事務用品,バインダー,Ibico,A,ファースト クラス,2019/06/07,"￥1,422",日本,中部地方,かほく市,"Ibico とじ機, クリア",石川県,消費者,川久保 進,1,1,0.14,0,10176,3
JP-2017-1294238,2017/10/07,事務用品,事務用品,保管箱,Smead,A,即日配送,2017/10/07,￥340,日本,中部地方,稲沢市,"Smead 棚, フル サイズ",愛知県,消費者,友永 静香,1,1,0.03,0,13056,4
JP-2017-1294238,2017/10/07,事務用品,事務用品,画材,Binney & Smith,A,即日配送,2017/10/07,"-￥1,737",日本,中部地方,稲沢市,"Binney & Smith 鉛筆削り, 各種サイズ",愛知県,消費者,友永 静香,1,1,-0.42,0.3,4179,3
JP-2017-1920458,2017/05/11,家電,家電,電話機,ノキア,S,通常配送,2017/05/15,￥765,日本,中国地方,福山市,"ノキア スマートフォン, 各種サイズ",広島県,消費者,広森 麗華,1,1,0.01,0,75600,9
JP-2019-1920884,2019/03/16,事務用品,事務用品,バインダー,アコ,A,通常配送,2019/03/21,￥790,日本,中部地方,小牧市,"アコ バインダー カバー, エコノミー",愛知県,大企業,湯本 久美子,1,1,0.18,0,4440,5
JP-2019-1920884,2019/03/16,事務用品,事務用品,封筒,GlobeWeis,A,通常配送,2019/03/21,￥600,日本,中部地方,小牧市,"GlobeWeis 茶封筒, 50 枚セット",愛知県,大企業,湯本 久美子,1,1,0.11,0,5478,3
JP-2020-1415212,2020/06/27,家具,家具,家具,Tenex,B,通常配送,2020/07/01,"￥2,172",日本,関西地方,箕面市,"Tenex フォト フレーム, 黒",大阪府,消費者,辺見 翔太,1,1,0.21,0,10368,3
JP-2019-1872207,2019/12/14,事務用品,事務用品,ラベル,Novimex,A,セカンド クラス,2019/12/17,￥84,日本,中部地方,半田市,"Novimex 丸型ラベル, 調整可能",愛知県,小規模事業所,宮家 修,1,1,0.04,0,1946,7
JP-2017-1736236,2017/09/16,家電,家電,付属品,ロジクール,S,通常配送,2017/09/21,"￥3,828",日本,中部地方,高岡市,"ロジクール マウス, プログラミング可能",富山県,大企業,野崎 哲也,1,1,0.17,0,22572,11
JP-2020-1923966,2020/09/30,事務用品,事務用品,保管箱,Smead,A,通常配送,2020/10/06,￥60,日本,中国地方,出雲市,"Smead ボックス, 業務用",島根県,消費者,村橋 翼,1,1,0.04,0,1500,2
JP-2020-1923966,2020/09/30,家具,家具,椅子,Hon,B,通常配送,2020/10/06,"￥5,830",日本,中国地方,出雲市,"Hon ビーチ チェア, 黒",島根県,消費者,村橋 翼,1,1,0.41,0,14240,5
JP-2020-1923966,2020/09/30,家電,家電,付属品,エナーマックス,S,通常配送,2020/10/06,"￥34,472",日本,中国地方,出雲市,"エナーマックス ルータ, 高耐久性",島根県,消費者,村橋 翼,1,1,0.5,0,68944,4
JP-2020-1923966,2020/09/30,事務用品,事務用品,保管箱,Rogers,A,通常配送,2020/10/06,￥595,日本,中国地方,出雲市,"Rogers ファイル カート, フル サイズ",島根県,消費者,村橋 翼,1,1,0.01,0,66094,7
JP-2018-1397098,2018/04/06,家具,家具,家具,Eldon,B,ファースト クラス,2018/04/08,￥114,日本,九州,延岡市,"Eldon 積み重ねトレイ, 高耐久性",宮崎県,消費者,唐木 雨夜,1,1,0.02,0,5706,3
JP-2017-1928028,2017/04/02,家電,家電,付属品,ベルキン,S,通常配送,2017/04/06,￥0,日本,中国地方,下関市,"ベルキン キーパッド, プログラミング可能",山口県,大企業,小菅 禎子,1,1,0,0.4,9480,4
JP-2020-1272866,2020/09/10,事務用品,事務用品,封筒,Jiffy,A,ファースト クラス,2020/09/12,"-￥3,021",日本,東北地方,久慈市,"Jiffy テープ付き, リサイクル",岩手県,消費者,石堂 雄大,1,1,-0.5,0.4,6019,8
JP-2018-1799264,2018/09/12,家電,家電,電話機,シスコ,S,セカンド クラス,2018/09/14,"-￥1,656",日本,関東地方,新宿区,"シスコ ヘッドセット, 各種サイズ",東京都,消費者,郷田 延,1,1,-0.16,0.15,10346,2
JP-2020-1832882,2020/10/10,家電,家電,コピー機,シャープ,S,通常配送,2020/10/16,￥324,日本,中部地方,稲沢市,"シャープ インク, 赤",愛知県,小規模事業所,松坂 霞,1,1,0.02,0,16348,2
JP-2020-1930337,2020/10/20,事務用品,事務用品,紙,ゼロックス,A,通常配送,2020/10/24,￥680,日本,関西地方,茨木市,"ゼロックス メモ用紙, プレミアム",大阪府,大企業,大門 美優,1,1,0.19,0,3608,4
JP-2020-1867728,2020/10/27,家電,家電,事務機器,OKI データ,S,通常配送,2020/10/31,"￥4,220",日本,関西地方,三田市,"OKI データ カード プリンター, 高耐久性",兵庫県,小規模事業所,久貝 大輝,1,1,0.18,0,23460,2
JP-2019-1931087,2019/11/19,家電,家電,電話機,モトローラ,S,セカンド クラス,2019/11/21,"-￥23,071",日本,関東地方,八千代市,"モトローラ オーディオ ドック, 各種サイズ",千葉県,大企業,矢幡 翔太,1,1,-0.65,0.4,35244,5
JP-2019-1931087,2019/11/19,家電,家電,付属品,サンディスク,S,セカンド クラス,2019/11/21,"-￥16,920",日本,関東地方,八千代市,"サンディスク ルータ, エコノミー",千葉県,大企業,矢幡 翔太,1,1,-0.18,0.4,92286,9
JP-2019-1931087,2019/11/19,事務用品,事務用品,バインダー,アコ,A,セカンド クラス,2019/11/21,"-￥3,818",日本,関東地方,八千代市,"アコ とじ機, エコノミー",千葉県,大企業,矢幡 翔太,1,1,-0.47,0.4,8174,4
JP-2019-1933847,2019/11/19,事務用品,事務用品,画材,Sanford,A,通常配送,2019/11/24,￥894,日本,四国,美馬郡つるぎ町,"Sanford 蛍光ペン, 大容量パック",徳島県,消費者,小豆畑 直樹,1,1,0.28,0,3204,3
JP-2019-1933847,2019/11/19,事務用品,事務用品,クリップ,Advantus,A,通常配送,2019/11/24,￥270,日本,四国,美馬郡つるぎ町,"Advantus 画鋲, 大容量パック",徳島県,消費者,小豆畑 直樹,1,1,0.06,0,4530,5
JP-2019-1934556,2019/07/05,事務用品,事務用品,クリップ,Stockwell,A,セカンド クラス,2019/07/10,￥966,日本,中部地方,春日井市,"Stockwell 押しピン, 12 パック",愛知県,消費者,村橋 翼,1,1,0.15,0,6440,7
JP-2019-1934556,2019/07/05,家具,家具,椅子,Safco,B,セカンド クラス,2019/07/10,"￥24,108",日本,中部地方,春日井市,"SAFCO 肘掛け椅子, 2 つセット",愛知県,消費者,村橋 翼,1,1,0.26,0,92736,3
JP-2019-1934556,2019/07/05,家電,家電,電話機,モトローラ,S,セカンド クラス,2019/07/10,"￥10,724",日本,中部地方,春日井市,"モトローラ オフィス用電話機, 大容量パック",愛知県,消費者,村橋 翼,1,1,0.32,0,33530,7
JP-2019-1935747,2019/05/23,事務用品,事務用品,保管箱,Smead,A,通常配送,2019/05/28,"￥2,548",日本,中部地方,安城市,"Smead ファイル カート, メタル",愛知県,大企業,村崎 彩乃,1,1,0.15,0,16996,2
JP-2019-1935747,2019/05/23,事務用品,事務用品,紙,エナーマックス,A,通常配送,2019/05/28,￥470,日本,中部地方,安城市,"エナーマックス スケジュール帳, マルチカラー",愛知県,大企業,村崎 彩乃,1,1,0.06,0,7970,5
JP-2017-1936019,2017/06/21,事務用品,事務用品,バインダー,Ibico,A,通常配送,2017/06/25,"￥1,434",日本,中部地方,津島市,"Ibico 穴あけパンチ, クリア",愛知県,消費者,佐田 美羽,1,1,0.24,0,5982,3
JP-2019-1936739,2019/08/13,家具,家具,本棚,イケア,B,通常配送,2019/08/19,"￥5,904",日本,関西地方,高槻市,"イケア 棚セット, 従来型",大阪府,消費者,蔵本 学,1,1,0.13,0,45424,4
JP-2019-1936739,2019/08/13,事務用品,事務用品,画材,Stanley,A,通常配送,2019/08/19,￥894,日本,関西地方,高槻市,"Stanley スケッチ帳, 大容量パック",大阪府,消費者,蔵本 学,1,1,0.1,0,8940,3
JP-2019-1936739,2019/08/13,事務用品,事務用品,封筒,Kraft,A,通常配送,2019/08/19,￥504,日本,関西地方,高槻市,"Kraft 茶封筒, リサイクル",大阪府,消費者,蔵本 学,1,1,0.3,0,1686,1
JP-2019-1017704,2019/04/23,家電,家電,コピー機,キヤノン,S,通常配送,2019/04/27,￥0,日本,関西地方,東大阪市,"キヤノン インク, カラー",大阪府,消費者,安部 優香,1,1,0,0,39624,4
JP-2019-1017704,2019/04/23,事務用品,事務用品,保管箱,Rogers,A,通常配送,2019/04/27,￥170,日本,関西地方,東大阪市,"Rogers フォルダ, 青",大阪府,消費者,安部 優香,1,1,0.04,0,4092,2
JP-2019-1017704,2019/04/23,家電,家電,コピー機,ヒューレット・パッカード,S,通常配送,2019/04/27,"￥26,982",日本,関西地方,東大阪市,"ヒューレット・パッカード ファックス, カラー",大阪府,消費者,安部 優香,1,1,0.14,0,192816,9
JP-2020-1126850,2020/07/21,家電,家電,コピー機,ブラザー,S,通常配送,2020/07/27,"￥4,372",日本,九州,古賀市,"ブラザー ファックスとコピー機, カラー",福岡県,小規模事業所,尾又 重子,1,1,0.17,0,25724,2
JP-2020-1126850,2020/07/21,事務用品,事務用品,アプライアンス,クイジナート,A,通常配送,2020/07/27,"￥7,792",日本,九州,古賀市,"クイジナート ミキサー, 黒",福岡県,小規模事業所,尾又 重子,1,1,0.44,0,17712,4
JP-2019-1092602,2019/03/27,家具,家具,椅子,Novimex,B,セカンド クラス,2019/03/29,"￥13,430",日本,中部地方,岡崎市,"Novimex 折り畳み式の椅子, 赤",愛知県,消費者,加倉井 朋美,1,1,0.49,0,27410,5
JP-2019-1092602,2019/03/27,家電,家電,コピー機,ブラザー,S,セカンド クラス,2019/03/29,"￥5,088",日本,中部地方,岡崎市,"ブラザー インク, デジタル",愛知県,消費者,加倉井 朋美,1,1,0.13,0,39184,4
